AA_ELEICAO,NR_TURNO,SG_UF,CD_MUNICIPIO,NM_MUNICIPIO,NR_ZONA,CD_GENERO,DS_GENERO,CD_ESTADO_CIVIL,DS_ESTADO_CIVIL,CD_FAIXA_ETARIA,DS_FAIXA_ETARIA,CD_GRAU_ESCOLARIDADE,DS_GRAU_ESCOLARIDADE,TP_CONVOCACAO,TP_COMPARECIMENTO,QT_MESARIOS_PERFIL
2024,2,RS,88013,PORTO ALEGRE,158,2,MASCULINO,1,SOLTEIRO,2124,21 a 24 anos,5,ENSINO MÉDIO INCOMPLETO,Voluntárias e voluntários,Comparecimentos,1
2024,2,RS,88013,PORTO ALEGRE,113,4,FEMININO,1,SOLTEIRO,2529,25 a 29 anos,5,ENSINO MÉDIO INCOMPLETO,Voluntárias e voluntários,Comparecimentos,6
2024,1,RS,88013,PORTO ALEGRE,113,4,FEMININO,3,CASADO,5054,50 a 54 anos,8,SUPERIOR COMPLETO,Não voluntárias e não voluntários,Comparecimentos,10
2024,1,RS,88013,PORTO ALEGRE,113,2,MASCULINO,1,SOLTEIRO,2124,21 a 24 anos,6,ENSINO MÉDIO COMPLETO,Voluntárias e voluntários,Comparecimentos,7
2024,1,RS,88013,PORTO ALEGRE,113,4,FEMININO,1,SOLTEIRO,5559,55 a 59 anos,8,SUPERIOR COMPLETO,Voluntárias e voluntários,Comparecimentos,7
2024,1,RS,88013,PORTO ALEGRE,113,4,FEMININO,3,CASADO,4044,40 a 44 anos,6,ENSINO MÉDIO COMPLETO,Não voluntárias e não voluntários,Comparecimentos,4
2024,2,RS,88013,PORTO ALEGRE,113,4,FEMININO,1,SOLTEIRO,6064,60 a 64 anos,5,ENSINO MÉDIO INCOMPLETO,Não voluntárias e não voluntários,Comparecimentos,2
2024,2,RS,88013,PORTO ALEGRE,113,2,MASCULINO,1,SOLTEIRO,2124,21 a 24 anos,5,ENSINO MÉDIO INCOMPLETO,Voluntárias e voluntários,Comparecimentos,7
2024,1,RS,88013,PORTO ALEGRE,113,2,MASCULINO,1,SOLTEIRO,3034,30 a 34 anos,3,ENSINO FUNDAMENTAL INCOMPLETO,Voluntárias e voluntários,Comparecimentos,2
2024,2,RS,88013,PORTO ALEGRE,113,4,FEMININO,9,DIVORCIADO,4549,45 a 49 anos,6,ENSINO MÉDIO COMPLETO,Voluntárias e voluntários,Comparecimentos,1
2024,2,RS,88013,PORTO ALEGRE,113,2,MASCULINO,9,DIVORCIADO,6064,60 a 64 anos,7,SUPERIOR INCOMPLETO,Voluntárias e voluntários,Comparecimentos,2
